Case Facts,Advice
"She has already divorced her ex-husband on September 2019. She has a child. However, she has since then found out that her husband may have had a child outside their marriage previously. ","She may not have a course of action as both parties have already divorced. Therefore, even if he had committed adultery previously, there is nothing she can do about it. 

She will be able to file to the court to ask for an increase in maintenance. To do this, she has to produce evidence as to why the child needs the additional amount. "
"The applicant was served an affidavit after attempting to claim outstanding maintenance arrears amounting to $24,000. The applicant's ex-husband now wishes to stop the payment and future payments. The monthly payment amounts have been court ordered after the divorce settlement in 2002.

The applicant's ex-husband has engaged a lawyer to go forth with his intentions. ","The applicant has to now reply to the affidavit. As the applicant is unable to afford a private lawyer, the applicant is to go to Legal Aid to avail herself of her difficulty. She is to check if she is able to qualify under the legal aid scheme.

At legal aid, the applicant will be assigned a lawyer. The applicant has not active choice in who her lawyer is.

"
Did not pay his ex wife maintenance and she went to court to claim for it. The applicant is a swimming coach and the number of students have reduced because of the recent coronavirus. He may have difficulty paying the maintenance and would like to reduce the amount that he has to pay to her. ,"Has to apply for an application & affidavit as to why he cannot pay $250 anymore. He has to go to the help desk on third floor for a sample of affidavit, file the summons and send to the ex-wife. If he doesn't know how to do so, go to legal aid and see if he satisfies the means test. "
"Came here to seek advice for what to do after she has been divorced. She has custody of her children but then her husband has not been following the procedures and has not been respecting the rules on which he is able to see the children. Husband would encourage and persuade the children to stay with him and he has led them astray (1 of them cut himself, needs to see psychotherapist etc). Ever since the older child turned 21, the ex husband has stopped his son's maintenance and the son has been telling the mother that she should let him stay with his father. She is worried about her son who is seemingly unwilling to study. Her husband is not paying her own maintenance, and she does not know what to do. Got health issue, can't remember things that happen (does not what is the day's date etc), not sure if these will affect.  ","When the child turns 21, the child will have to make an application on his own if he would want maintenance to continue. Should sit her son down one day and ask him whether he wants to study or not, explain the whole situation to him as well. With regard to her ex-husband's maintenance for her, he is obligated to still pay her. With regard to the maintenance order, technically speaking, she can try to enforce the order until he decides to challenge. Issue a notice to her ex-husband that he has defaulted on the maintenance order. Remind the son that he is not to rely on his dad forever because it won't last forever and convey the message that her son better wise up and look for a source of funds that is stable. Show her son the women's charter regarding the maintenance.  "
She is a divorcee. Her ex-husband has requested to decrease the child maintenance fees from $900 to $600. He has explained that he wants to decrease the amount to take care of his father. She holds that she would like this amount to be unchanged as because the child has other commitments that needs this amount to be paid. ,"If he wants to file for a change of the maintenance, he has to prove a change. She can explain about her current situation, and her expenses. His high monthly expenses is also debatable. "
"Applicant was advised by the family district judge regarding the summons of variations of order (application to reduce alimony). 

Applicant has to pay $2000 in alimony to his son per month. However, he can no longer afford to pay for that amount and wishes for the amount to be reduced. 

He has paid alimony for three years. 

Applicant was self employed. However, he has been unemployed since November 2019. He could not pay in October to December and was thus brought to the Family Justice Courts. 

","Get letter from company documenting Mr Tan's retrenchment for use in supporting affidavit. Include information which documents the fact that Applicant lost his job because of factors out of his control. 

Apply for summons requesting for a variation of paragraph 3f(1)-(2) to lower  maintenance to a sum of $500 a month. 





"
"Applicant's ex-spouse has summoned her to court with the aim of reducing maintenance. He has been paying $600 without default (some delays occasionally but he paid up after applicant's reminder). But since August, he has been paying only $500.

She wishes to file the necessary documents as she is acting for herself in this suit.","Prepare an affidavit to be filed in response at Crimson Logic. All affidavits should be stamped by a Commissioner of Oaths. Commission hers at the law firm outside Crimson Logic.

Structure should follow the one that she was issued with by her husband. Challenge each paragraph one by one and state her reasons on why the maintenance should not be reduced, such as her daughters' university fees. He also has not given any other evidence other than the CPF statement (e.g. bank statement) to justify his unemployment. But even this does not preclude the possibility that he gains income from self-employment. Number the paragraph and pages and attach evidence as Exhibits behind the document. After filing, she has to send the counterparty a copy of her affidavit.

Counterparty is not allowed to pay a reduced amount of $500 before the court order is varied. Thus the shortfall from the past payments would have to be paid up by him as well. Include in the affidavit that she did not waive her right to accept the full amount, and that she only accepted the lower amount for the past few months as they agreed over WhatsApp that he would pay the deficit by a certain deadline."
"The applicant has been working overseas for the past 16 years. In the past 3 years, his family came back to Singapore with him. The applicant had made some financial plans for his family. The wife is working as a tuition tutor. He acquired two properties overseas. He thought that his family could live on the two rental properties ($2,000/month).

The applicant's wife (""Wife"") started to alienate the applicant. Wife even approached the police in 2017 to report that he had been violent. Wife applied for a PPO. The PPO was granted to both the applicant and the wife, but not to the child.

The applicant says it is not violence. Wife came out with a maintenance summons for her and the child.","Out of job for two years. The applicant's indirect contributions do not extend to the whole house; he only cleans up his portion. From 2017, he has ceased to eat with his family. The rental income came in from 2017. For one of the apartments, one of the tenants left in 2019. For the other apartment, the money keeps going.

Under SG law, parents have a duty to provide for the child. A woman can also get maintenance for herself. In the applicant's case, the rental amount have been given to her all this while - already maintaining her.

First, put together a chronology about how you have financially supported her, and how even now the money from both the apartments are still going to her. Next, need to include about how she has a job and assets. Last, need to state that you are unemployed.

For the child, Wife is asking for $1,200. Of this $1,200, $500 is supposedly intended for tuition. The court will want to know what is a reasonable amount for the child. So you should figure out what you think is reasonable. And you also want to say that right now, you have been contributing but right now you have limited means.

The problem about using the rental income as child maintenance is that if the apartments are not rented."
"Applicant is a permanent resident and had a divorce a while ago. 
The maintenance given by the ex husband to the applicant was once every 3 months instead of once a month.
On the days that the applicant is given access to the children, the ex husband had arranged for the children to have tuition on those days of the week.
",The lawyer advised the applicant to vary access and enforce the maintenance order against the ex husband.
"Client's husband is a SG citizen. She has been separated from him for 7 years, and they are not married. They have a child together. They were supposed to get married, but his family has opposed the marriage. 

She now wants to know whether there is anything she can do in terms of requesting for maintenance. ","The best course of action is to negotiate with the father of her child. 

In the event that she does want to make an application to the family court, she should engage a lawyer. If she can prove that the father is indeed the biological father, then there should be no issue in obtaining a maintenance order. 

No legal method to force the husband to look after her son in Singapore. "
"Applicant given a court order relating to maintenance and is seeking clarification with regard to interpretation of the order. Under the order, applicant is not awarded maintenance but her daughter is.

Not being awarded maintenance (not even nominal) extinguishes applicant's right to maintenance altogether, meaning she would not be entitled to vary this and apply for maintenance in the future. However, subsequent part of the order gives applicant liberty to apply should circumstances change, meaning she would be able to apply. As such both parts contradict.

She is concerned as she feels she may need to apply for maintenance in the future due to problems at work and personal injuries.","Lawyer agrees that this is an unconventional wording of the order and that it is inherently contradictory. Typically, applicant should be given nominal $1 maintenance to entitle her to the right to apply to vary the maintenance should she need to. However, applicant is still encouraged to apply and rely on the part of the order that appears to give her the liberty to apply if the circumstances were appropriate. 

Should she make an application now, the new judge may be able to make reference to the previous judge's notes in interpreting the order. The previous judge's notes would probably have captured the intentions behind her order. Applicant can also contact her old lawyer to clarify.

May face difficulties as applicant's earning power appears to be higher than her ex-husband's on paper.

Can make an application to give up care and control and explain well in her affidavits regarding the kind of abuse the child has been inflicting on her."
Divorced previous spouse. Has corresponding maintenance orders etc. He wants to do a variation (reduction of maintenance payable) and would like to know more about the process and procedure involved for his case. ,"Explained the legal process for a variation order to the Applicant. 

May request for a refiling of affidavit at the case conference. But it is likely that both sides would have to access these documents in the process for the variation order being sought. 

If a negotiation is successful, Applicant can still record what was agreed on as a consent order. However, he should withdraw his current application. 
"
"The applicant's dad was abusive, and charged for murder for killing the applicant's mom. The father is seeking maintenance from the applicant and his brother.

He had applied to the tribunal 3 times but it was dismissed. The application was deemed to be vexatious and frivolous. 

Thus, the applicant wants to know whether the father is entitled to seek maintenance from the applicant.","The children are bound to provide maintenance to the parent but whether the court will look at the circumstances.

Wait for the father's lawyer to serve the letter on the applicant and inform them. The father's lawyers will have to send the applicant's directives. Respond and rebut factually to the allegations made. 

It is unlikely that the application to the tribunal will be approved."
Applicant would like to apply for variation of child maintenance. ,"1. Monthly maintenance per child:
For varying the amount, you need to provide proof of the request. Why this amount is justified. You need to explain that any increases is fairly shared. Currently, husband is required to pay $1080 ($540 per child per month). 

Ex-husband is also entitled to argue that the maintenance should not be increased or even lowered. He could argue that he can no longer afford it (i.e. earning less now).

2. Reimbursement clause:
Current arrangement is ""reimbursement for 2018 / 2019 for medical expenses"". Husband did not pay. The court order for enforcement has already been taken out, so no issue here. Unfortunately, have to keep chasing periodically.

3. Legal representation
Legal Aid Bureau (LAB). Check whether you qualify. Or if you don't qualify, you can appoint a private lawyer."
"The applicant has an order for his divorce proceedings, where he was ordered to pay maintenance to his ex-wife. However, he was recently retrenched and he is no longer able to pay the maintenance.

The maintenance was for the education and expenses of his children. Presently, his children are 18 years old and are no longer in school. ","The applicant was advised to seek legal help from legal aid and try to vary the order to an amount (for maintenance) that he is comfortable with.

While the applicant is seeking to file for bankruptcy, the applicant is advised that bankruptcy will not shield him from the court order."
"He had a divorce 4 years ago. Up to date, he has contributed $66,000 Euros to his son's education fund. He found out that an insurance policy that he bought for his son has been depleted and he alleges that his ex-wife has control of the money. He does not have any money left to continue paying for his son's university fees and he wishes to ensure that his wife helps pay for his son's living fees. 

His son is 23 years old. He has completed National Service and is studying in an overseas University. ","1. Take up a committal, to compel her to fulfill her obligations under the previous court order.
2. Summons application to apply for her to pay for her son's university education. "
"Applicant's ex-spouse (A/P) has not been paying maintenance and has recently filed for Variation of Maintenance to reduce the sum he has to pay. The maintenance sum includes the outstanding property loan that both parties share. Applicant wishes to oppose the variation as she would not be able to afford the loan on her own due to the fact that she has to pay for her medical fees (heart attack).

A/P is the sole owner of the matrimonial property, which Applicant claims is his only asset (he has no cash and is unemployed). A/P is living in that property now with his mother.","Applicant is advised to file a Summons for Enforcement to counter A/P's variation. 
Alternatively she can apply to vary the Interim Judgement"
"Applicant went through a divorce in 2017. He now wishes to apply for a Variation of Maintenance Order due to change in his income and other circumstances.
Applicant also wishes to include the variation of access in his affidavit as it has been impractical for Applicant to exercise his right of access as his daughter has tuition due the periods of access.","Applicant has to be as detailed as possible in his affidavit. He can approach a lawyer/ Crimsonlogic to file the Summons and the Supporting Affidavits. If not he will have to file for the affidavits himself. Applicant should keep a record of A/P's (spouse) unreasonable behaviours, alongside evidence.

Applicant will have to draft his affidavit, sign the affidavit with the Commissioner of Oaths bearing witness, then file the Summons and Supporting Affidavits at CrimsonLogic."
"There is a Consent Order pursuant to divorce, Applicant has filed a Summons for Variation of Court Order. It is stated in the Summons that Applicant wishes to vary Orders 2 and 3. Apart from varying Orders 2 and 3 which are stated in the Summons, he wishes to vary 1 more Order (5), and add an Order 13, which are not included in the Summons. Applicant has included the reasons for varying Orders 2,3,5 and adding Order 13 in the affidavit, but only Variation of Order 2 and 3 are included in the Summons.
Applicant has filed Affidavit, Summons, Amended Affidavit and Written Submissions. Applicant is unsure of the status of the Summons and was advised to wait for notice from the Registrar regarding the outcome of the Summons before he can know what he should do.","Applicant must file a Summons for Amendment of Summons, to vary orders 2, 3, and 5 and to pray for an additional order. Applicant must also file a Supporting Affidavit substantiating why he wishes to file the Summons."
"Client would like to increase maintenance for her children. Right now maintenance has been deducted because children turned 21, subsequently further deducted $150 because children are no longer staying with her. This is based on his own calculations and done despite court order still stipulating him to pay the original amount ($1151).

Client would be out of job after 12 Jan so she needs the maintenance.

Client is also currently owed $150.","File an application to the Family Court to vary the court order. Not necessary to hire a lawyer as procedure is not complicated.

Advised to go to a bureau. Tell them she wishes to vary the current court order, after which she would be required to fill two forms including Summons (summarising what order she wishes the court to make, such as the total sum she wishes the defendant to make to her). Advised to request for the particular paragraph in the original order to be amended to the amount of maintenance she now wants to claim.

Required to explain to the court why she now wishes to request for a higher sum and support it with documents and evidence to better persuade the court. Give a specific breakdown on the costs to justify the sum requested and to amend the order. Can find articles showing how inflation is now a very real issue. Also justify increasing the current nominal maintenance for herself by explaining that she is going to be out of job.

The $150 owed should be paid as the current order is still standing. Doesn't matter if it is already paid to the son as the amount is supposed to be paid to her directly especially since he often delays payment. Amount paid to the son to be treated as extra. This can be raised during the upcoming mediation session she is going to attend. Can also ask to amend the current arrangement (still half-half but him paying first and she reimbursing him after), but this similarly has to be supported by evidence that he always takes long to pay her back which makes cash flow tight for her."
"Applicant's wife is seeking an interim maintenance order against him. Applicant has been drawing a salary of about $1,700 per month since September 2019. He was terminated from his former job due to family troubles and being locked out of the house by his wife. Applicant's wife is working with a salary much higher than his. Applicant's wife is seeking maintenance of $1,500.","Applicant was advised to prepare copies of his salary slips for the past two years, provide a breakdown of his monthly expenses, and explain his circumstances (e.g. the reasons for his termination from his previous job). This information would used by the judge to determine an appropriate sum for the interim maintenance order.

Applicant was advised that if he wishes to contest a maintenance order, he can file an appeal, but nonetheless he would have to make payment for the amount stipulated in the maintenance order by the due date.

Applicant was advised to consult the maintenance section of the FJC website for further information on procedure and appeals."
Applicant's ex-husband has failed to make maintenance payments for the past 8 months. Applicant says that her ex-husband is currently overseas but she is not sure where he is. The Family Court informed her that she would not be able to file her application to enforce the maintenance payments if she did not know her ex-husband's current whereabouts.,Applicant is advised that she needs to ascertain the whereabout of her ex-husband. She can also seek further assistance from Legal Aid Bureau since she is unemployed.
"Applicant has been divorced for 4 years, with her son under her care during this duration. Her son is in secondary school at present and is 12 years old. She was the sole-caregiver during this period, as her husband was working overseas for these 4 years. However, about 6 months ago, her ex-husband's parents have taken her son to their condo. They have also instructed the security to bar the Applicant entry. and prevented her access to her son. Previously, the Applicant allowed her in-laws to take care of her child. The police declined to assist the Applicant, advising her to resolve matters internally. 

On a separate issue, the in-laws and her ex-husband have refused to give the Applicant the maintenance monies owed to her, as she has sole access of the children. ","Lawyer advised her to go to the legal aid bureau. There, the lawyers will likely assist her in issuing letters that will call her ex-in-laws to mediation. Lawyer also advised her to instruct said lawyer to make a complaint against the ex-husband for not paying the maintenance. Should he refuse to comply with the order, Applicant should file for contempt of court."
"Applying for a rescission of maintenance, and needs to serve it on his ex-wife, but he does not want to do it in person.","It is better to serve it to her himself, and get a law firm to do it for him or a process server, but he has to pay. Not advisable to just mail it to her. If she is not around, it is not advisable to just pass it to the maid. "
Applicant finalised her divorce proceedings in October 2019 but her ex-husband has not been paying the monthly $500 mutaah. They also have not agreed about the arrangements for maintenance of their children.  ,Applicant is advised to inform the court that her ex-husband has signed an affidavit acknowledging the eldest child as a member of the family. That will enable her to claim maintenance for the child from her ex-husband. Applicant is also advised to inform the court about her living arrangements.
"Currently divorced with three children. Custody is with her. Her eldest son is her ex-husband's child, but the younger son and daughter are not her ex-husband's. On the birth certificate, the name is her ex-husband's and not the natural father. Court order maintenance for the three children is $300, but it is not enough. Does not know where the younger two children's natural father is to get maintenance and does not have a DNA test. ","Difficult for her to get money from the natural father, because there is no proof that he is the father and it is difficult to prove this. The court will not order that he take a DNA test. She will face difficulties explaining how all this happened, and why the birth certificate reflected her ex-husband's name instead. Chances are slim. "
"Applicant wishes to give maintenance to his divorced wife. The Applicant wishes this maintenance amount to be derived from his CPF, in light of his being recently retrenched. However, the order of Court given during his divorce stated that the Applicant does not have to pay any maintenance. ",Lawyer recommended that the Applicant seek assistance and representation from the Legal Aid Bureau. 
I am divorced and am paying maintenance. Client's salary dipped last month ,"Go to family court and get a variation downwards. 

Collate proof that your previous pay when the judgement was made was 3,200 and now collect proof that you lost your job. 

"
"Applicant paid consistently for the maintenance fees. Informed ex-wife that he is out of job but she insists on payment.
",Advised applicant to vary the interim judgment. Write an affidavit to explain his situation.
"Applicant's ex wife sent a message to the applicant to continue to pay for their daughter's school fees for 4 years. 

Clause says that after daughter reaches 21 years old, applicant does not have to pay for daughter's school fees. Agreement did not state what the $20 000 will be used for."," Suggest to go back to the lawyer previously engaged. 

"
"Client's husband failed to pay Client maintenance for past two months, claiming that he is required to spend on his new family. Client's husband is a director, and owns three properties.

Client is terminally ill, and has drafted her will. She is therefore worried that she won't be around to enforce the order of maintenance for her children.","Client was advised that it would be difficult to force the ex-husband to pay a lump sum, since ex-husband is unlikely to be financially able to pay this lump sum. Additionally, it may not be strategic to force a lump sum now, since she may vary maintenance upwards in the future. Client, or whoever she has appointed as the guardian of her children, must wait for every instance in which ex-husband fails to pay maintenance, and thereafter bring him to court to enforce the order.

Client was advised to proceed to the FJC to request for enforcement of orders. This may be concluded very quickly.

Should ex-husband continue to lapse on his payments, he will be arrested and brought to court.  He will have to pay or go to jail. Additionally, Client may take out an Attachment of Earnings Order"
"Client's ex-husband applied for downward variation of maintenance, on the basis of reduced pay. Client alleges that this is not the case.

Client has also applied for arrears of maintenance not yet paid, for around $4,000.

Client's ex-husband is filing for disclosure of Client's documents to be used in his case.","REGARDING THE VARIATION ORDER:

Client was advised to go forward with her application to compel her ex-husband to disclose his documents as part of his variation application.

Client was advised to prepare evidence proving that: her ex-husband owns multiple properties, his monthly salary has not dropped since the prior court order, how much money he has in his bank account, the prior maintenance amount is still required by her and her children.

Client was advised that she is in a disadvantaged position, since she will be arguing against her ex-husband's lawyer.

Client was advised that she will have to file two documents: (1) summons, (2) supporting affidavit. She can then go forward to file it at Crimsonlogic.

REGARDING THE ARREARS OF MAINTENANCE:

Client may go forward to apply for recovery of maintenance, and it is highly likely that she will win this case. As long as no application has been made to vary, the court order holds, regardless of the financial situation of the Client. Client must tell the Court that her ex-husband has breached the court order."
"Client has lapsed on maintenance for two months, owing to financial difficulties. Mediation has been set for 18 December 2019.

Client's son has recently been enlisted in the SAF in October 2019, and is therefore receiving allowance. 

The Interim Judgement was consented to by both parties, but does not include a clause on the liberty to vary.","Client has been advised that his Interim Judgement lacks a clause regarding the liberty to vary. Therefore, Client must ask for leave from the Courts to vary maintenance. Client must also provide his reasons for variation in an affidavit - namely, that he has run into financial difficulties and that his son is able to support himself with his SAF allowance.

Client was also advised that he can add on to his affidavit his claim that his wife has been siphoning off his maintenance amount for personal use, upon testimony of his children. However, Client was cautioned that the judge would need to see evidence, and he must be entirely certain of this.

Client was advised that he is still liable for maintenance of his son's tertiary education after National Service, as is mandated under the Women's Charter. 

Client was advised that he is unlikely to qualify for representation at Legal Aid Bureau, but he may obtain legal support and document preparation from CJC's Primary Justice Program."
"Client would like to file a variation order for maintenance for his wife, but his previous attempts have been rejected due to insufficient grounds.","Client was advised to go to the Legal Aid Bureau in order to obtain legal representation and complete his variation order.

Client was also advised that he must provide evidence of a financial change since the point of divorce. Either he must prove that his wife has gotten more well-off, or he must prove that he has himself gotten less well-off.

Client was advised that his wife's new job (earning + earning capacity) and his recent medical conditions constitute grounds for variation. Therefore, he must produce evidence proving the above in order to form a basis for his variation order."
"Client's ex-wife has taken out a summons against him for enforcement of arrears in maintenance. Client has recently changed his job and is facing financial difficulties and as such, Client has been paying a lesser amount for maintenance since last June. There is a mediation session scheduled for next month.","Client should consider filing an application to vary the maintenance. The basis of his application will be on the material change in circumstances and income since the previous order was made. Client may also state that he has since remarried and as such has other obligations. 

As for the arrears owed, Client may apply to suspend the amount or ask for a delayed repayment."
"Client wants to apply for a maintenance order for herself and her children, while her divorce proceedings are ongoing. Her husband is represented while the Client is unrepresented. Client's husband's lawyers have proposed certain terms for the divorce proceedings to her, asking her to move out of the property amongst others.","Client should reply to the terms and state if she is willing to accept or reject the proposal.

As for her application for maintenance, the court's will decide what is an acceptable amount. Client must prepare a breakdown of expenses and figures. As Client is unrepresented, she should prepare a set of questions to ask her husband when he takes the stand."
Client's ex-husband has not been paying her maintenance for the past few years and is not contactable anymore. Client subsequently went to court to seek enforcement and the court has issued a court order in her favour. Client has been asked to file an affidavit.,"Client should go to the Family Court and use the precedent form available for the affidavit.

Client's ex-husband must pay the arrears in maintenance owed. Client should state in detail the period of time in which her ex-husband has not paid her maintenance, and also quantify the total amount owed to her in maintenance.

Client may also wish to apply to court to commence committal proceedings for failing to pay her maintenance."
Child was born out of wedlock. Father is married. She wants to claim maintenance from him. ,"1) Sue under the agreement. It becomes a contract between her and the father of her child. Court can order him to pay the $18,000. 

2) File an application with FJC for maintenance, request to fix the starting day as January 2016

3) Lawyer recommends she gets approval from Official Assignee if she wants to sue, as she is a bankrupt.  "
"Applicant divorced and received court order. From 2016 to 2019, the applicant has not received any cash consideration from the ex husband. $111,800 must be paid to the applicant by the ex-husband, under the Order of Court.

The house that was jointly owned had been surrendered to HDB.

Applicant is currently unemployed. Applicant does not have children. Applicant married in 2013, divorced in 2016.

Applicant is currently living her with parents, brother and sister. Father pending medical surgery in Nov after collapsing overseas while on holiday with his friends. Father scheduled to go for a   heart operation. Mother was involved in a motor vehicle-bicycle collision. Brother works as an insurance agent and does not receive salary and only an allowance. 

The ex-husband is no longer staying with his parents and cannot currently be located.","Applicant needs to first find out where the ex-husband is staying.

Applicant advised to go to the legal aid bureau and ask them to help with the enforcement of the Order of Court.

Applicant can also try asking counter staff to refer her to pro bono/legal aid.

If legal aid bureau is unable to provide assistance, applicant would have to engage a lawyer to help with the process.

Applicant can go to Crimson Logic Office to get a template for summons."
"The client has not paid his maintenance fees in full. The maintenance fees to the client's daughter is $500 per month. The client claims his ex-wife has underdeclared her salary. The client claims that he has to maintain his parents and two other children as well and is unable to pay the maintenance fees to his first daughter in full. The client states that there were discrepancies in his ex-wife's CPF statements. The client has three children to maintain and has not taken a single cent from his ex-wife since divorce. 

The client's current wife states that his ex-wife has beaten her at her house and took the child away. A police report has been made regarding this issue. The medical expenses for the injury is around $1000. The application for a PPO was mentioned by the client. It is noted that this incident took place in September 2018. ","The lawyer advises the client to file an affidavit to tell the Judge that he has to maintain his parents and two other children as well, and that he cannot pay up $500 as maintenance fees and to state on how much is he able to pay. Lawyer advises client to apply for vary for payment. The lawyer advises the client to focus on payment of the maintenance fees. 

The lawyer advises the client to file an affidavit to IRAS regarding the ex-wife's financial statements.

The lawyer advises the client's wife to check with the IO on whether the police is going to follow up with the case or to close the case. The lawyer advises as well as to claim the medical expenses in the SCT. The lawyer advises that in order to apply for a PPO, it is unlikely to be granted unless the client's ex wife is likely to beat the client's current wife again."
"Application received a summon letter from husband's lawyer to lower the child's maintenance. Applicant's husband claim he is retrenched and cannot pay for children's education. Husband is earning $11,000 and agreed on child's maintenance of $3,000. Applicant's husband is now asking to lower the maintenance to $800. ","Applicant have to get the affidavit signed. 
Based on material ground of changes, the husband might be able to pay lesser since he is unemployed but if circumstances were to change in the future, the maintenance fee will increase. Applicant have to tell the judge how she think her husband is able to afford the maintenance. The applicant can suggest to the judge that the husband can rent out the room to earn extra income to finance the maintenance fee of the child. "
"Applicant's past income is $12k but currently applicant is unemployed . The maintenance fee was decided $1,100 at the time where he was employed with high income. He had to pay child's maintenance fee of $1,100. However, right now the Applicant is unable to afford his child's maintenance fee as he is jobless. ","Applicant can go to the judge and ask for material change of circumstances, as applicant is currently unemployed and cannot afford to the maintenance fee.
If order is still in existence and applicant can't pay, applicant have to prove that he really cannot afford to pay. 
Applicant have to file a fresh application since he had already filed one but was dismissed. 

Applicant's joint account with his parents will not be touched by the wife. 

It is recommended for the applicant to get a lawyer to argue for his case. "
Client has been transferring to his ex-wife maintenance fees of $700/monthly. Company deducts from client's pay monthly to transfer to wife's account. Client would like to stop paying for maintenance to ex-wife for his 2 sons. Older son has turned 23 and younger son is turning 21. Ex-wife does not have maintenance. ,"Client has to file a summon together with a supporting affidavit to rescind the monthly maintenance fee.

File all documents at Crimson Logic @ Chinatown Point. 

Client needs to check if children are still studying full-time, as they may be able to appeal to court for client to continue paying for their studies. "
"Applicant has to pay $1676 as maintenance to the 2 children every month since his final court order.
Applicant also agreed to pay her privately another $2500 towards children's insurance. But Applicant is now not working in civil service. Defendant wife kept sending letters to Applicant's boss stating that Applicant is a terrible person. As a result the Applicant lost his job in the civil service and is now driving Grab, Applicant wants to know if he must pay the private sum of $2500. ","Applicant can apply to court to reduce his ordered maintenance if he has good grounds. Based on his instructions, he seems to have good grounds.

As for the private amount, he doesn't have to pay as it is not an ordered amount"
Have applied for enforcement of maintenance order for herself and her autistic son. Cross application by her ex-husband to vary the maintenance sum to zero. Both applications will be heard on 24 Oct 2019. No money to engage a lawyer to do a reply affidavit for her.,Explained to her all the technical requirements of preparing and filing an affidavit and its exhibits. Also the number of sets she needs to prepare for the hearing.
"Recently, ex husband's contract has not been renewed and would be going back to overseas. Ex husband wanted to apply for total exemption for maintenance. He have not paid the $500 for the month of September. Applicant wants to extract the order, but is unable to. She has not contacted her ex husband since he went back to overseas. Ex husband does not agree with giving sole custody of the child to the applicant. ","Even if the ex husband does not extract the order, the applicant would still be able to do so. Even after the 14 days, she would still be able to extract the order. Make the according amendment and the applicant would still be able to extract.
The applicant would be able to apply for sole custody and also remove the clause which states that the applicant has to make consent in regards to bringing her children overseas. "
"His ex wife filed an pursuant and affidavit to divorce on the applicant. 
Ex wife would like to change the monthly maintenance fees to $1.2k , the current order for maintenance is $400. After the divorce, the applicant started working as a grab driver and his current income is $1.2k . His Ex wife's income is about $4k to 5k.
During the marriage, the applicant was a household husband and stayed home to look after the children. For the divorce case, the husband was labelled as an irresponsible husband. The Ex wife told him that to divorce, these are things needed to be stated in the documents and the applicant signed the documents. After divorce, the flat would go to the ex wife and the applicant had no CPF.
The documents the ex wife have attached the school fees as $780, but with government subsidies the school fees should only amount to approximately $380 per children. Upon research, by January 2020, there will be even more government subsidies and the school fees would decrease to approximately $100. The ex wife has bought the investment insurance under the children's name and is likely to be the beneficiary. He has calculated for the expenses of the kids to be around $1k. 
The applicant has recently remarried. ","Because the ex wife is the bigger income earner, she should contribute more to the maintenance. Explain to the judge the former arrangement that he was a household husband and that the ex wife have been mostly contributing to the family. The applicant should explain how after divorce, the flat and CPF went to the ex wife  and that he is just barely sustaining himself. In addition he should explain financial circumstances, suffered financially for the last 2 years. The documents he should include are his payslips and pick relevant evidence on how he has no savings and that he had to sleep in his car . This is for the judge to have an insight on what the applicant's life was like before he remarried. Request for the school to get the receipt for children's school fees. Get a commissioner to chop on the exhibit page. After compiling all information, disclose information and documents to the ex wife. "
Ex husband did not pay maintenance fee since last year. did file a maintenance claim last year. but court ask applicant to come her to seek legal advice. here to find out how to deliver. ex husband only comes to Singapore 1 - 2 months.  ex husband contacts daughter through facebook. Lawyer suggests that she needs to show proof that the father contact the daughter through facebook. applicant has passed lawyer an adoption family slip. she has to go to court again on 6 nov.  ,"lawyer advised to ask for her to file so that she can serve the letter through facebook 

lawyer advised to file a magistrate complaint as ex husband has not been paying maintenance fee. "
"rescission of maintenance order. mother is foreigner, supposed to take care of daughter, but failed to do so, husband pays her maintenance fees and has given the apartment. now applicant business has failed and he has a new family to make ends meet. terms of the maintenance is in the interim judgement . wants the care and control, but is currently with the ex wife. ex- wife has adducted to china before her psle exam. daughter has wasted one year had to retake. ex wife did not apply daughter visa in china. was an illegal immigrant . ex wife is mostly drunk and mostly throw her daughter to the grandmother. applicant asked if he can served on WhatsApp. however, lawyer say must serve personally , but applicant has no address as he has only contacted through WhatsApp. he needs to file an application for vary , and fail a subset to say that he can only contact her thru WhatsApp. and the judge need to approve, the substitute service. the second application is to apply the variation of judgement. if the court says okay then send via WhatsApp. If ex wife does not want to reply, then the case is on. applicant is concerned abt the recession of order. lawyer has said that he has a high chance on, as he has given the apartment, have given maintenance fee, has a maintenance change as he has closed down all his business and have a new family, thus his expenses have increase- list down all his expenses, marriage cert. says that the income that his currently earning has not been able to pay ex wife maintenance fee. despite NOA earning 100K but is not earning it anymore. court may perhaps say to lower the maintenance fee. applicant concerned whether that the women's charter stills apply to her as she is not a PR. he is concerned that the court think that 500 is too little, and NOA has 100k. but however he is notable to anymore, he does not even have a house as he is renting a house. Needs to put the expenses specifically. ","Lawyer recommends to take it to court 
Lawyer advised to focus on substitution service of application. "
"Client wants to increase the maintenance. Current maintenance is $50 per child, client's acceptance during time of divorce as ex-spouse did not have a job. ",The lawyer advised the client to get an application to court to increase the maintenance. The lawyer advised the client to take out a summon and an affidavit. 
